DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
200808837,4/29/2020 0:00,4/28/2020 0:00,1930,8,West LA,835,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 1606 0202 1420 1822,47,F,O,501,SINGLE FAMILY DWELLING,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,331,,,,2000    CAMDEN                       AV,,34.044,-118.4386
200306481,2/11/2020 0:00,2/6/2020 0:00,1200,3,Southwest,314,2,649,DOCUMENT FORGERY / STOLEN FELONY,2000 1813 0924,35,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,649,,,,3800 W  28TH                         ST,,34.0302,-118.3267
200615161,9/9/2020 0:00,9/9/2020 0:00,1210,6,Hollywood,644,2,946,OTHER MISCELLANEOUS CRIME,1501,0,X,X,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AA,Adult Arrest,946,,,,1400 N  DETROIT                      ST,,34.0962,-118.3452
200310332,4/24/2020 0:00,4/22/2020 0:00,1800,3,Southwest,396,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,800 W  41ST                         ST,,34.0092,-118.2872
201214794,6/15/2020 0:00,6/15/2020 0:00,600,12,77th Street,1241,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0913 1309 0416,25,F,B,101,STREET,307,VEHICLE,AA,Adult Arrest,230,,,,66TH                         ST,11TH                         AV,33.9797,-118.3294
200610874,6/2/2020 0:00,6/1/2020 0:00,2000,6,Hollywood,666,1,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,1212 0400 1822,0,X,X,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,231,,,,1300    WILCOX                       AV,,34.0943,-118.331
200918541,12/17/2020 0:00,12/17/2020 0:00,1000,9,Van Nuys,904,2,625,OTHER ASSAULT,0356 0445,34,M,H,102,SIDEWALK,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,625,,,,VAN NUYS,SATICOY                      ST,34.2085,-118.4488
201008140,4/17/2020 0:00,4/17/2020 0:00,1430,10,West Valley,1035,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1822 1606 0344,45,M,W,104,DRIVEWAY,,,IC,Invest Cont,331,,,,17900    DUNCAN                       ST,,34.1859,-118.5229
200918386,12/12/2020 0:00,12/12/2020 0:00,1700,9,Van Nuys,923,2,624,BATTERY - SIMPLE ASSAULT,0448 0416 1420,22,M,O,401,MINI-MART,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,14500    VICTORY                      BL,,34.1903,-118.4574
200305050,1/18/2020 0:00,1/18/2020 0:00,200,3,Southwest,379,2,624,BATTERY - SIMPLE ASSAULT,0342 0444 0416 1810,26,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,1100 W  MARTIN LUTHER KING           BL,,34.0145,-118.2937
200500577,3/10/2020 0:00,3/10/2020 0:00,1900,5,Harbor,503,2,888,TRESPASSING,1309 1402,53,M,A,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,888,998,,,800 W  255TH                        ST,,33.7928,-118.2904
200317339,9/14/2020 0:00,9/14/2020 0:00,1500,3,Southwest,393,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1822 2032,32,M,B,101,STREET,,,IC,Invest Cont,341,,,,LEIMERT                      BL,43RD                         ST,34.0054,-118.3297
201216102,7/8/2020 0:00,7/8/2020 0:00,115,12,77th Street,1293,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0554 0329 1300,41,F,B,101,STREET,,,IC,Invest Cont,740,,,,10500    RUTHELEN                     ST,,33.9409,-118.3123
201007646,3/29/2020 0:00,3/28/2020 0:00,1800,10,West Valley,1018,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1822,0,M,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,740,,,,7800    HASKELL                      AV,,34.2074,-118.4794
200100554,1/20/2020 0:00,1/20/2020 0:00,2205,1,Central,157,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0907 1420 0312 1100 1407 1402 0430 1218 1822,40,F,B,101,STREET,109,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,230,998,,,6TH,CROCKER,34.0412,-118.2436
200122222,12/10/2020 0:00,12/9/2020 0:00,1900,1,Central,159,1,330,BURGLARY FROM VEHICLE,1609 0344 1307 1822 0329 1414,32,F,W,101,STREET,,,IC,Invest Cont,330,,,,JESSE,IMPERIAL,34.0363,-118.2314
200205512,1/31/2020 0:00,1/31/2020 0:00,850,2,Rampart,218,2,624,BATTERY - SIMPLE ASSAULT,0444 1820 0913,27,M,W,109,PARK/PLAYGROUND,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,PARK VIEW,LOGAN,34.0726,-118.2578
201306528,2/14/2020 0:00,2/14/2020 0:00,1900,13,Newton,1363,1,210,ROBBERY,0344 0448 0355 0419 0417 1309 1313 0432 1822 0852,12,F,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,AVALON                       BL,51ST                         ST,33.9966,-118.2652
201207376,2/18/2020 0:00,2/17/2020 0:00,2000,12,77th Street,1218,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,700 W  56TH                         ST,,33.9915,-118.2856
200814813,10/3/2020 0:00,10/2/2020 0:00,2200,8,West LA,855,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1823 2034 0913 0354,56,M,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AO,Adult Other,440,,,,1600 S  BENTLEY                      AV,,34.0484,-118.4437
